Compound ID (CID),MedDRA Concept ID,Frequency (%),Normalized Frequency,Term Level,Indication/Condition Name,Term ID,Term Name,ATC Code,Compound Name
CID100000158,C0020649,postmarketing,0.001,PT,Hypotension,10021097,Hypotension,G02AD02,PGE2
CID100000158,C0020649,postmarketing,0.001,PT,Hypotension,10005734,Blood pressure decreased,G02AD02,PGE2
CID100000247,C0019880,postmarketing,0.001,PT,Homocystinuria,10020365,Homocystinuria,A09AB02,betaine
CID100000247,C0019880,postmarketing,0.001,PT,Homocystinuria,10020365,Homocystinuria,A16AA06,betaine
CID100000444,C0015672,5%,0.05,PT,Fatigue,10016256,Fatigue,N06AX12,bupropion
CID100000444,C0015672,8.6%,0.086,PT,Fatigue,10016256,Fatigue,N06AX12,bupropion
CID100000444,C0038663,postmarketing,0.001,PT,Suicide attempt,10042464,Suicide attempt,N06AX12,bupropion
CID100000444,C0085631,0.3%,0.003,PT,Agitation,10001497,Agitation,N06AX12,bupropion
CID100000444,C0085631,0.3%,0.003,PT,Agitation,10038743,Restlessness,N06AX12,bupropion
CID100000444,C0085631,0.3%,0.003,PT,Agitation,10037211,Psychomotor hyperactivity,N06AX12,bupropion
CID100000444,C0085631,0.7%,0.007,PT,Agitation,10001497,Agitation,N06AX12,bupropion
CID100000444,C0085631,0.7%,0.007,PT,Agitation,10038743,Restlessness,N06AX12,bupropion
CID100000444,C0085631,0.7%,0.007,PT,Agitation,10037211,Psychomotor hyperactivity,N06AX12,bupropion
CID100000444,C0085631,1.6%,0.016,PT,Agitation,10001497,Agitation,N06AX12,bupropion
CID100000444,C0085631,1.6%,0.016,PT,Agitation,10038743,Restlessness,N06AX12,bupropion
CID100000444,C0085631,1.6%,0.016,PT,Agitation,10037211,Psychomotor hyperactivity,N06AX12,bupropion
CID100000444,C0085631,1.8%,0.018,PT,Agitation,10001497,Agitation,N06AX12,bupropion
CID100000444,C0085631,1.8%,0.018,PT,Agitation,10038743,Restlessness,N06AX12,bupropion
CID100000444,C0085631,1.8%,0.018,PT,Agitation,10037211,Psychomotor hyperactivity,N06AX12,bupropion
CID100000444,C0085631,2%,0.02,PT,Agitation,10001497,Agitation,N06AX12,bupropion
CID100000444,C0085631,2%,0.02,PT,Agitation,10038743,Restlessness,N06AX12,bupropion
CID100000444,C0085631,2%,0.02,PT,Agitation,10037211,Psychomotor hyperactivity,N06AX12,bupropion
CID100000444,C0085631,3%,0.03,PT,Agitation,10001497,Agitation,N06AX12,bupropion
CID100000444,C0085631,3%,0.03,PT,Agitation,10038743,Restlessness,N06AX12,bupropion
CID100000444,C0085631,3%,0.03,PT,Agitation,10037211,Psychomotor hyperactivity,N06AX12,bupropion
CID100000444,C0085631,3.5%,0.035,PT,Agitation,10001497,Agitation,N06AX12,bupropion
CID100000444,C0085631,3.5%,0.035,PT,Agitation,10038743,Restlessness,N06AX12,bupropion
CID100000444,C0085631,3.5%,0.035,PT,Agitation,10037211,Psychomotor hyperactivity,N06AX12,bupropion
CID100000444,C0085631,31.9%,0.319,PT,Agitation,10001497,Agitation,N06AX12,bupropion
CID100000444,C0085631,31.9%,0.319,PT,Agitation,10038743,Restlessness,N06AX12,bupropion
CID100000444,C0085631,31.9%,0.319,PT,Agitation,10037211,Psychomotor hyperactivity,N06AX12,bupropion
CID100000444,C0085631,9%,0.09,PT,Agitation,10001497,Agitation,N06AX12,bupropion
CID100000444,C0085631,9%,0.09,PT,Agitation,10038743,Restlessness,N06AX12,bupropion
CID100000444,C0085631,9%,0.09,PT,Agitation,10037211,Psychomotor hyperactivity,N06AX12,bupropion
CID100000444,C0085631,frequent,1.0,PT,Agitation,10001497,Agitation,N06AX12,bupropion
CID100000444,C0085631,frequent,1.0,PT,Agitation,10038743,Restlessness,N06AX12,bupropion
CID100000444,C0085631,frequent,1.0,PT,Agitation,10037211,Psychomotor hyperactivity,N06AX12,bupropion
CID100000444,C0085631,postmarketing,0.001,PT,Agitation,10001497,Agitation,N06AX12,bupropion
CID100000444,C0085631,postmarketing,0.001,PT,Agitation,10038743,Restlessness,N06AX12,bupropion
CID100000444,C0085631,postmarketing,0.001,PT,Agitation,10037211,Psychomotor hyperactivity,N06AX12,bupropion
CID100000444,C0085631,1%,0.01,PT,Agitation,10001497,Agitation,N06AX12,bupropion
CID100000444,C0085631,1%,0.01,PT,Agitation,10038743,Restlessness,N06AX12,bupropion
CID100000444,C0085631,1%,0.01,PT,Agitation,10037211,Psychomotor hyperactivity,N06AX12,bupropion
CID100000444,C0085631,22.2%,0.222,PT,Agitation,10001497,Agitation,N06AX12,bupropion
CID100000444,C0085631,22.2%,0.222,PT,Agitation,10038743,Restlessness,N06AX12,bupropion
CID100000444,C0085631,22.2%,0.222,PT,Agitation,10037211,Psychomotor hyperactivity,N06AX12,bupropion
